trigger,i_start,T,SOA,response,subject,order,RT,selection,targ_devs,item,block,options,stim_number,continuum,pair,name_exp2,amb_type
1,95769,95.769,0.862,target,A0004,50,861.2,t,0,pt_57_7, 2,pt,57,7,pt,0,place
1,97636,97.636,0.725,target,A0004,52,724.5,d,0,dt_23_2, 2,dt,23,10,td,0,VOT
1,99369,99.369,0.74,target,A0004,54,739.2,k,0,kp_25_1, 2,kp,25,11,pk,0,place
1,101119,101.119,0.964,target,A0004,56,964.3,p,1,kp_6_5, 2,kp,6,7,pk,6_25_k,place
1,103086,103.086,1.403,target,A0004,58,1403.7,g,0,kg_11_8, 2,kg,11,8,kg,0,VOT
1,105502,105.502,1.058,target,A0004,60,1057.8,g,0,kg_66_8, 2,kg,66,8,kg,0,VOT
1,107569,107.569,1.448,target,A0004,62,1448.2,b,0,pb_54_8, 2,pb,54,8,pb,0,VOT
1,110019,110.019,1.326,target,A0004,64,1326.2,g,0,gk_51_4, 2,gk,51,8,kg,51_0_g,VOT
1,112352,112.352,1.881,target,A0004,66,1880.8,p,1,bp_63_4, 2,bp,63,8,pb,0,VOT
1,115235,115.235,1.32,target,A0004,68,1319.6,b,0,pb_19_9, 2,pb,19,9,pb,0,VOT
1,117569,117.569,0.85,target,A0004,70,850.2,p,1,pk_25_6, 2,pk,25,6,pk,0,place
1,119435,119.435,0.731,target,A0004,72,730.7,t,0,pt_42_9, 2,pt,42,9,pt,42_100_p,place
1,121168,121.168,1.061,target,A0004,74,1060.2,p,1,tp_70_11, 2,tp,70,1,pt,0,place
1,123235,123.235,0.864,target,A0004,76,863.5,k,0,kp_47_1, 2,kp,47,11,pk,0,place
1,125102,125.102,1.666,target,A0004,78,1666.9,d,0,td_3_6, 2,td,3,6,td,3_100_t,VOT
1,127785,127.785,1.11,target,A0004,80,1110.5,t,0,tp_1_7, 2,tp,1,5,pt,0,place
1,129901,129.901,1.226,target,A0004,82,1225.9,k,0,kp_32_3, 2,kp,32,9,pk,0,place
1,132135,132.135,1.215,target,A0004,84,1215.7,p,1,pb_60_5, 2,pb,60,5,pb,0,VOT
1,134368,134.368,0.947,target,A0004,86,947.3,g,0,gk_18_4, 2,gk,18,8,kg,18_0_g,VOT
1,136318,136.318,1.967,target,A0004,88,1967.2,p,1,pb_29_4, 2,pb,29,4,pb,29_25_p,VOT
1,139301,139.301,2.375,target,A0004,90,2375.0,p,1,bp_16_11, 2,bp,16,1,pb,0,VOT
1,142684,142.684,1.001,target,A0004,92,1000.7,p,1,tp_8_9, 2,tp,8,3,pt,0,place
1,144701,144.701,0.991,target,A0004,94,991.0,d,0,dt_28_5, 2,dt,28,7,td,0,VOT
1,146701,146.701,0.952,target,A0004,96,951.9,k,0,tk_26_11, 2,tk,26,11,tk,0,place
1,148667,148.667,0.932,target,A0004,98,931.2,k,0,pk_10_8, 2,pk,10,8,pk,10_100_p,place
1,150601,150.601,1.339,target,A0004,100,1339.0,p,1,tp_41_9, 2,tp,41,3,pt,0,place
1,152951,152.951,0.77,target,A0004,102,770.8,k,0,pk_32_8, 2,pk,32,8,pk,32_100_p,place
1,154734,154.734,1.003,target,A0004,104,1003.5,p,1,tp_52_9, 2,tp,52,3,pt,0,place
1,156750,156.75,0.96,target,A0004,106,960.0,t,1,kt_50_5, 2,kt,50,7,tk,50_25_k,place
1,158717,158.717,1.047,target,A0004,108,1047.3,p,1,pt_8_4, 2,pt,8,4,pt,8_25_p,place
1,160767,160.767,0.868,target,A0004,110,868.2,b,0,pb_34_7, 2,pb,34,7,pb,0,VOT
1,162650,162.65,1.103,target,A0004,112,1102.9,g,0,kg_18_10, 2,kg,18,10,kg,0,VOT
1,164767,164.767,1.153,target,A0004,114,1153.3,g,0,kg_55_8, 2,kg,55,8,kg,0,VOT
1,166933,166.933,1.143,target,A0004,116,1142.6,p,1,pb_53_3, 2,pb,53,3,pb,0,VOT
1,169083,169.083,1.346,target,A0004,118,1345.6,t,0,pt_1_2, 2,pt,1,2,pt,0,place
1,171433,171.433,0.908,target,A0004,120,907.7,t,1,td_12_7, 2,td,12,7,td,0,VOT
1,173350,173.35,0.797,target,A0004,122,796.9,p,1,kp_31_9, 2,kp,31,3,pk,31_75_k,place
1,175150,175.15,0.761,target,A0004,124,760.9,d,0,td_28_10, 2,td,28,10,td,0,VOT
1,176916,176.916,0.724,target,A0004,126,723.3,t,0,tp_43_8, 2,tp,43,4,pt,0,place
1,178650,178.65,0.686,target,A0004,128,686.9,k,0,kt_30_4, 2,kt,30,8,tk,0,place
1,180349,180.349,0.758,target,A0004,130,757.9,k,0,kp_46_7, 2,kp,46,5,pk,46_25_k,place
1,182116,182.116,0.58,target,A0004,132,580.4,t,1,dt_9_9, 2,dt,9,3,td,0,VOT
1,183699,183.699,2.289,target,A0004,134,2289.0,p,1,bp_35_7, 2,bp,35,5,pb,35_75_b,VOT
1,186999,186.999,1.404,target,A0004,136,1403.9,k,1,gk_65_8, 2,gk,65,4,kg,0,VOT
1,189416,189.416,0.854,target,A0004,138,854.2,t,0,pt_39_5, 2,pt,39,5,pt,39_50_p,place
1,191282,191.282,0.659,target,A0004,140,658.7,t,1,tk_14_6, 2,tk,14,6,tk,14_25_t,place
1,192949,192.949,0.808,target,A0004,142,807.8,p,1,bp_38_11, 2,bp,38,1,pb,0,VOT
1,194766,194.766,0.621,target,A0004,144,621.3,k,0,kp_4_6, 2,kp,4,6,pk,4_25_k,place
1,196399,196.399,0.626,target,A0004,146,626.0,b,0,bp_36_1, 2,bp,36,11,pb,0,VOT
1,198032,198.032,0.599,target,A0004,148,598.6,t,1,kt_40_10, 2,kt,40,2,tk,0,place
1,199632,199.632,0.824,target,A0004,150,823.6,k,0,kp_69_1, 2,kp,69,11,pk,0,place
1,201465,201.465,0.576,target,A0004,152,575.4,t,1,td_9_3, 2,td,9,3,td,0,VOT
1,203049,203.049,1.271,target,A0004,154,1271.8,b,0,bp_37_6, 2,bp,37,6,pb,37_50_b,VOT
1,205332,205.332,1.275,target,A0004,156,1275.6,k,0,kt_14_1, 2,kt,14,11,tk,14_0_k,place
1,207615,207.615,2.107,target,A0004,158,2107.2,d,0,dt_59_6, 2,dt,59,6,td,59_50_d,VOT
1,210732,210.732,0.733,target,A0004,160,733.7,t,0,pt_5_11, 2,pt,5,11,pt,0,place
1,212482,212.482,2.599,target,A0004,162,2599.5,p,1,pb_36_6, 2,pb,36,6,pb,36_50_p,VOT
1,216098,216.098,1.127,target,A0004,164,1127.0,k,0,kp_56_2, 2,kp,56,10,pk,0,place
1,218231,218.231,0.611,target,A0004,166,610.7,k,1,gk_66_2, 2,gk,66,10,kg,0,VOT
1,219848,219.848,2.449,target,A0004,168,2448.8,k,0,pk_56_7, 2,pk,56,7,pk,56_75_p,place
1,223314,223.314,1.24,target,A0004,170,1239.3,b,0,bp_54_3, 2,bp,54,9,pb,0,VOT
1,225564,225.564,1.037,target,A0004,172,1036.3,g,0,kg_27_11, 2,kg,27,11,kg,0,VOT
1,227614,227.614,0.727,target,A0004,174,726.3,t,0,tp_2_1, 2,tp,2,11,pt,0,place
1,229348,229.348,1.66,target,A0004,176,1660.9,p,1,pb_16_5, 2,pb,16,5,pb,16_50_p,VOT
1,232014,232.014,1.608,target,A0004,178,1608.2,t,0,pt_17_5, 2,pt,17,5,pt,17_50_p,place
1,234631,234.631,1.135,target,A0004,180,1135.6,p,1,pk_33_2, 2,pk,33,2,pk,0,place
1,236781,236.781,0.588,target,A0004,182,588.7,p,1,pk_31_3, 2,pk,31,3,pk,31_25_p,place
1,238381,238.381,0.935,target,A0004,184,935.6,k,0,tk_67_7, 2,tk,67,7,tk,67_75_t,place
1,240330,240.33,1.203,target,A0004,186,1202.7,k,0,pk_6_10, 2,pk,6,10,pk,0,place
1,242547,242.547,0.743,target,A0004,188,742.8,p,1,pt_41_4, 2,pt,41,4,pt,41_25_p,place
1,244297,244.297,0.739,target,A0004,190,738.9,t,0,pt_2_7, 2,pt,2,7,pt,0,place
1,246047,246.047,0.71,target,A0004,192,710.0,k,0,pk_4_11, 2,pk,4,11,pk,0,place
1,247764,247.764,1.022,target,A0004,194,1022.3,k,0,pk_47_6, 2,pk,47,6,pk,0,place
1,249797,249.797,1.03,target,A0004,196,1029.9,t,0,pt_68_7, 2,pt,68,7,pt,0,place
1,251830,251.83,0.755,target,A0004,198,754.6,t,1,td_24_1, 2,td,24,1,td,0,VOT
1,253597,253.597,0.778,target,A0004,200,778.0,d,0,dt_3_1, 2,dt,3,11,td,0,VOT
1,255380,255.38,0.9,target,A0004,202,900.5,b,0,bp_19_4, 2,bp,19,8,pb,19_0_b,VOT
1,257296,257.296,1.211,target,A0004,204,1211.0,p,1,pb_63_9, 2,pb,63,9,pb,0,VOT
1,259513,259.513,1.316,target,A0004,206,1316.3,t,0,pt_52_4, 2,pt,52,4,pt,52_25_p,place
1,261846,261.846,0.613,target,A0004,208,612.9,t,0,pt_70_6, 2,pt,70,6,pt,0,place
1,263463,263.463,0.816,target,A0004,210,816.2,k,1,gk_61_10, 2,gk,61,2,kg,61_100_g,VOT
1,265296,265.296,0.625,target,A0004,212,624.9,d,0,dt_58_1, 2,dt,58,11,td,0,VOT
1,266929,266.929,2.085,target,A0004,214,2084.7,g,0,kg_51_10, 2,kg,51,10,kg,0,VOT
1,270029,270.029,0.996,target,A0004,216,995.5,p,1,pk_22_2, 2,pk,22,2,pk,0,place
1,272029,272.029,1.342,target,A0004,218,1341.5,k,1,kg_65_3, 2,kg,65,3,kg,65_0_k,VOT
1,274379,274.379,0.659,target,A0004,220,658.6,b,0,bp_7_10, 2,bp,7,2,pb,0,VOT
1,276046,276.046,1.379,target,A0004,222,1378.9,d,0,dt_21_3, 2,dt,21,9,td,21_0_d,VOT
1,278429,278.429,0.693,target,A0004,224,692.7,t,1,tk_40_4, 2,tk,40,4,tk,0,place
1,280129,280.129,0.65,target,A0004,226,650.5,k,0,pk_45_7, 2,pk,45,7,pk,0,place
1,281796,281.796,0.818,target,A0004,228,818.9,t,0,tp_57_1, 2,tp,57,11,pt,0,place
1,283629,283.629,0.944,target,A0004,230,944.5,k,0,kp_48_6, 2,kp,48,6,pk,48_25_k,place
1,285579,285.579,1.546,target,A0004,232,1546.7,t,0,tp_39_10, 2,tp,39,2,pt,0,place
1,288129,288.129,1.015,target,A0004,234,1015.7,g,0,gk_55_2, 2,gk,55,10,kg,55_0_g,VOT
1,290162,290.162,1.256,target,A0004,236,1256.3,d,0,td_21_8, 2,td,21,8,td,0,VOT
1,292428,292.428,1.108,target,A0004,238,1107.6,d,0,td_23_7, 2,td,23,7,td,0,VOT
1,294545,294.545,0.968,target,A0004,240,968.0,t,0,pt_43_3, 2,pt,43,3,pt,43_50_p,place
1,296528,296.528,2.665,target,A0004,242,2664.6,t,1,kt_15_6, 2,kt,15,6,tk,15_50_k,place
1,300195,300.195,0.969,target,A0004,244,968.8,d,0,td_58_6, 2,td,58,6,td,58_75_t,VOT
1,302178,302.178,1.068,target,A0004,246,1067.5,k,0,tk_30_9, 2,tk,30,9,tk,0,place
1,304261,304.261,1.351,target,A0004,248,1350.2,p,1,pb_35_1, 2,pb,35,1,pb,0,VOT
1,306628,306.628,0.817,target,A0004,250,817.6,t,0,tp_42_3, 2,tp,42,9,pt,42_0_t,place
1,308461,308.461,1.117,target,A0004,252,1117.3,d,0,td_59_11, 2,td,59,11,td,59_100_t,VOT
1,310594,310.594,0.987,target,A0004,254,986.9,t,1,dt_62_10, 2,dt,62,2,td,62_100_d,VOT
1,312594,312.594,0.962,target,A0004,256,962.0,d,0,dt_12_2, 2,dt,12,10,td,12_25_d,VOT
1,314561,314.561,0.968,target,A0004,258,968.2,b,0,pb_37_11, 2,pb,37,11,pb,0,VOT
1,316544,316.544,0.947,target,A0004,260,947.0,k,0,pk_48_11, 2,pk,48,11,pk,0,place
1,318494,318.494,4.088,target,A0004,262,4087.8,k,0,kt_26_6, 2,kt,26,6,tk,0,place
1,323594,323.594,0.881,target,A0004,264,880.9,g,0,gk_27_5, 2,gk,27,7,kg,0,VOT
1,325477,325.477,2.11,target,A0004,266,2109.6,p,1,bp_53_9, 2,bp,53,3,pb,0,VOT
1,328594,328.594,0.832,target,A0004,268,831.9,p,1,pk_46_1, 2,pk,46,1,pk,46_0_p,place
1,330427,330.427,0.606,target,A0004,270,605.5,p,1,pk_64_3, 2,pk,64,3,pk,0,place
1,332044,332.044,0.892,target,A0004,272,893.0,b,0,pb_38_5, 2,pb,38,5,pb,38_25_p,VOT
1,333943,333.943,0.986,target,A0004,274,985.9,k,0,kp_33_8, 2,kp,33,4,pk,0,place
1,335943,335.943,1.163,target,A0004,276,1163.0,p,1,pk_13_1, 2,pk,13,1,pk,0,place
1,338110,338.11,1.007,target,A0004,278,1007.3,t,0,tp_17_10, 2,tp,17,2,pt,17_100_t,place
1,340127,340.127,0.579,target,A0004,280,579.6,k,0,tk_15_11, 2,tk,15,11,tk,0,place
1,341710,341.71,1.028,target,A0004,282,1028.2,p,1,kp_13_7, 2,kp,13,5,pk,13_100_k,place
1,343743,343.743,1.268,target,A0004,284,1268.0,k,0,kp_45_2, 2,kp,45,10,pk,0,place
1,346026,346.026,0.688,target,A0004,286,687.7,g,0,gk_11_2, 2,gk,11,10,kg,11_0_g,VOT
1,347726,347.726,0.952,target,A0004,288,951.7,p,1,tp_5_5, 2,tp,5,7,pt,0,place
1,349693,349.693,0.973,target,A0004,290,972.9,b,0,bp_34_2, 2,bp,34,10,pb,0,VOT
1,351676,351.676,0.864,target,A0004,292,863.6,p,1,kp_49_11, 2,kp,49,1,pk,0,place
1,353543,353.543,0.702,target,A0004,294,702.0,t,1,kt_20_9, 2,kt,20,3,tk,0,place
1,355259,355.259,0.986,target,A0004,296,985.3,p,1,kp_64_9, 2,kp,64,3,pk,0,place
1,357259,357.259,0.712,target,A0004,298,711.4,t,0,pt_44_8, 2,pt,44,8,pt,0,place
1,358976,358.976,0.959,target,A0004,300,959.5,t,0,tp_44_2, 2,tp,44,10,pt,0,place
1,360942,360.942,1.116,target,A0004,302,1116.0,k,0,pk_49_5, 2,pk,49,5,pk,0,place
1,363076,363.076,1.797,target,A0004,304,1797.5,t,1,dt_24_7, 2,dt,24,5,td,24_50_d,VOT
1,365876,365.876,0.923,target,A0004,306,923.6,k,0,pk_69_6, 2,pk,69,6,pk,0,place
1,367809,367.809,0.991,target,A0004,308,991.3,p,1,bp_60_11, 2,bp,60,1,pb,0,VOT
1,369809,369.809,0.653,target,A0004,310,653.2,t,0,tp_68_1, 2,tp,68,11,pt,0,place
1,371475,371.475,0.833,target,A0004,312,832.5,k,0,tk_50_10, 2,tk,50,10,tk,50_100_t,place
1,373325,373.325,1.115,target,A0004,314,1114.6,k,0,kt_67_2, 2,kt,67,10,tk,0,place
1,375442,375.442,0.922,target,A0004,316,921.9,k,0,kp_22_8, 2,kp,22,4,pk,0,place
1,377375,377.375,0.48,target,A0004,318,479.7,k,0,kp_10_3, 2,kp,10,9,pk,0,place
1,378858,378.858,1.014,target,A0004,320,1013.3,k,1,kg_61_5, 2,kg,61,5,kg,61_25_k,VOT
1,380875,380.875,0.589,target,A0004,322,588.5,t,1,tk_20_3, 2,tk,20,3,tk,0,place
1,382475,382.475,0.87,target,A0004,324,869.6,p,1,pb_7_4, 2,pb,7,4,pb,0,VOT
1,384358,384.358,1.54,target,A0004,326,1540.3,p,1,bp_29_10, 2,bp,29,2,pb,29_100_b,VOT
1,386908,386.908,1.351,target,A0004,328,1351.4,t,1,td_62_4, 2,td,62,4,td,62_25_t,VOT
1,395241,395.241,2.31,target,A0004,331,2309.9,k,0,pk_25_7, 3,pk,25,7,pk,25_75_p,place
1,398558,398.558,0.642,target,A0004,333,642.3,t,0,pt_42_10, 3,pt,42,10,pt,0,place
1,400208,400.208,0.678,target,A0004,335,678.2,t,0,tp_68_2, 3,tp,68,10,pt,0,place
1,401891,401.891,0.529,target,A0004,337,528.9,p,1,tp_17_11, 3,tp,17,1,pt,0,place
1,403424,403.424,0.748,target,A0004,339,747.7,p,1,kp_13_8, 3,kp,13,4,pk,0,place
1,405174,405.174,0.637,target,A0004,341,636.7,k,0,kp_45_3, 3,kp,45,9,pk,0,place
1,406824,406.824,2.376,target,A0004,343,2375.6,t,1,dt_24_8, 3,dt,24,4,td,24_75_d,VOT
1,410207,410.207,0.994,target,A0004,345,994.3,d,0,dt_28_6, 3,dt,28,6,td,28_25_d,VOT
1,412207,412.207,0.59,target,A0004,347,590.3,k,1,gk_65_9, 3,gk,65,3,kg,65_100_g,VOT
1,413807,413.807,0.694,target,A0004,349,694.3,g,0,kg_11_9, 3,kg,11,9,kg,0,VOT
1,415507,415.507,2.006,target,A0004,351,2006.2,b,0,pb_63_10, 3,pb,63,10,pb,0,VOT
1,418524,418.524,1.31,target,A0004,353,1310.6,d,0,dt_21_4, 3,dt,21,8,td,0,VOT
1,420840,420.84,1.016,target,A0004,355,1015.9,b,0,pb_54_9, 3,pb,54,9,pb,0,VOT
1,422873,422.873,0.635,target,A0004,357,634.6,k,0,pk_6_11, 3,pk,6,11,pk,0,place
1,424523,424.523,0.908,target,A0004,359,907.7,k,0,kp_47_2, 3,kp,47,10,pk,0,place
1,426440,426.44,0.721,target,A0004,361,720.9,t,1,tk_26_1, 3,tk,26,1,tk,26_0_t,place
1,428173,428.173,0.769,target,A0004,363,768.6,d,0,td_58_7, 3,td,58,7,td,0,VOT
1,429956,429.956,1.061,target,A0004,365,1060.3,k,0,kp_10_4, 3,kp,10,8,pk,10_0_k,place
1,432023,432.023,0.706,target,A0004,367,705.5,k,0,kp_49_1, 3,kp,49,11,pk,0,place
1,433740,433.74,0.604,target,A0004,369,604.0,g,0,kg_66_9, 3,kg,66,9,kg,0,VOT
1,435356,435.356,0.888,target,A0004,371,888.3,d,0,td_21_9, 3,td,21,9,td,21_100_t,VOT
1,437256,437.256,1.052,target,A0004,373,1052.2,t,1,td_62_5, 3,td,62,5,td,62_50_t,VOT
1,439323,439.323,0.67,target,A0004,375,670.5,t,1,kt_20_10, 3,kt,20,2,tk,0,place
