trigger,i_start,T,SOA,response,subject,order,RT,selection,targ_devs,item,block,options,stim_number,continuum,pair,amb_type
1,96964,96.964,0.938,target,A0190,50,937.9,p,1,bp_29_11, 3,bp,29,1,pb,VOT
1,98914,98.914,1.253,target,A0190,52,1253.0,d,0,dt_21_4, 3,dt,21,8,td,VOT
1,101181,101.181,1.267,target,A0190,54,1267.3,t,0,pt_52_5, 3,pt,52,5,pt,place
1,103464,103.464,1.093,target,A0190,56,1092.9,t,1,tk_15_1, 3,tk,15,1,tk,place
1,105564,105.564,0.937,target,A0190,58,936.9,g,0,gk_11_3, 3,gk,11,9,kg,VOT
1,107514,107.514,0.958,target,A0190,60,957.8,t,0,pt_42_10, 3,pt,42,10,pt,place
1,109480,109.48,1.095,target,A0190,62,1094.3,p,1,bp_60_1, 3,bp,60,11,pb,VOT
1,111580,111.58,1.283,target,A0190,64,1283.3,p,1,pk_49_6, 3,pk,49,6,pk,place
1,113880,113.88,1.037,target,A0190,66,1037.2,k,0,tk_14_7, 3,tk,14,7,tk,place
1,115930,115.93,1.178,target,A0190,68,1178.2,k,0,kp_48_7, 3,kp,48,5,pk,place
1,118113,118.113,1.141,target,A0190,70,1141.0,p,1,pb_60_6, 3,pb,60,6,pb,VOT
1,120263,120.263,1.181,target,A0190,72,1180.9,d,0,td_28_11, 3,td,28,11,td,VOT
1,122446,122.446,1.009,target,A0190,74,1008.6,t,1,kt_15_7, 3,kt,15,5,tk,place
1,124463,124.463,1.097,target,A0190,76,1096.9,k,1,kg_61_6, 3,kg,61,6,kg,VOT
1,126563,126.563,1.182,target,A0190,78,1182.0,p,1,pb_63_10, 3,pb,63,10,pb,VOT
1,128746,128.746,1.099,target,A0190,80,1098.6,t,0,pt_17_6, 3,pt,17,6,pt,place
1,130846,130.846,0.998,target,A0190,82,997.5,t,1,dt_12_3, 3,dt,12,9,td,VOT
1,132846,132.846,1.029,target,A0190,84,1028.6,k,0,tk_50_11, 3,tk,50,11,tk,place
1,134879,134.879,1.147,target,A0190,86,1146.2,k,0,kp_32_4, 3,kp,32,8,pk,place
1,137029,137.029,1.058,target,A0190,88,1058.4,g,0,kg_11_9, 3,kg,11,9,kg,VOT
1,139096,139.096,1.096,target,A0190,90,1096.5,d,0,td_21_9, 3,td,21,9,td,VOT
1,141196,141.196,1.064,target,A0190,92,1064.6,p,1,bp_63_5, 3,bp,63,7,pb,VOT
1,143262,143.262,1.237,target,A0190,94,1236.9,b,0,pb_36_7, 3,pb,36,7,pb,VOT
1,145512,145.512,1.093,target,A0190,96,1092.9,p,1,pk_22_3, 3,pk,22,3,pk,place
1,147612,147.612,1.038,target,A0190,98,1038.0,k,0,pk_6_11, 3,pk,6,11,pk,place
1,149662,149.662,1.293,target,A0190,100,1293.0,b,0,bp_19_5, 3,bp,19,7,pb,VOT
1,151962,151.962,1.122,target,A0190,102,1121.9,b,0,bp_38_1, 3,bp,38,11,pb,VOT
1,154095,154.095,1.043,target,A0190,104,1042.5,t,0,tp_70_1, 3,tp,70,11,pt,place
1,156145,156.145,1.342,target,A0190,106,1341.6,t,1,tk_26_1, 3,tk,26,1,tk,place
1,158495,158.495,1.108,target,A0190,108,1107.6,d,0,td_23_8, 3,td,23,8,td,VOT
1,160612,160.612,1.022,target,A0190,110,1022.0,p,1,tp_39_11, 3,tp,39,1,pt,place
1,162645,162.645,1.263,target,A0190,112,1263.6,b,0,pb_34_8, 3,pb,34,8,pb,VOT
1,164912,164.912,1.081,target,A0190,114,1081.9,t,1,tk_20_4, 3,tk,20,4,tk,place
1,166995,166.995,1.124,target,A0190,116,1124.5,k,0,pk_31_4, 3,pk,31,4,pk,place
1,169128,169.128,1.192,target,A0190,118,1192.2,t,0,tp_44_3, 3,tp,44,9,pt,place
1,171328,171.328,1.199,target,A0190,120,1199.3,b,0,bp_16_1, 3,bp,16,11,pb,VOT
1,173545,173.545,1.33,target,A0190,122,1330.5,k,0,kt_67_3, 3,kt,67,9,tk,place
1,175878,175.878,1.071,target,A0190,124,1071.2,p,1,tp_8_10, 3,tp,8,2,pt,place
1,177961,177.961,1.055,target,A0190,126,1055.0,t,0,tp_42_4, 3,tp,42,8,pt,place
1,180028,180.028,1.063,target,A0190,128,1063.3,p,1,pk_48_1, 3,pk,48,1,pk,place
1,182094,182.094,1.116,target,A0190,130,1115.6,p,1,pb_37_1, 3,pb,37,1,pb,VOT
1,184227,184.227,1.008,target,A0190,132,1007.2,p,1,pt_43_4, 3,pt,43,4,pt,place
1,186244,186.244,1.066,target,A0190,134,1065.6,p,1,kp_6_6, 3,kp,6,6,pk,place
1,188327,188.327,1.299,target,A0190,136,1299.2,t,0,pt_8_5, 3,pt,8,5,pt,place
1,190644,190.644,1.146,target,A0190,138,1146.6,b,0,pb_38_6, 3,pb,38,6,pb,VOT
1,192794,192.794,0.939,target,A0190,140,939.7,p,1,tp_17_11, 3,tp,17,1,pt,place
1,194744,194.744,1.119,target,A0190,142,1119.6,d,0,dt_58_2, 3,dt,58,10,td,VOT
1,196877,196.877,0.887,target,A0190,144,887.3,k,0,kp_49_1, 3,kp,49,11,pk,place
1,198777,198.777,1.126,target,A0190,146,1126.2,p,1,pk_13_2, 3,pk,13,2,pk,place
1,200910,200.91,0.942,target,A0190,148,942.0,t,1,dt_9_10, 3,dt,9,2,td,VOT
1,202860,202.86,1.093,target,A0190,150,1093.0,k,0,kt_30_5, 3,kt,30,7,tk,place
1,204960,204.96,0.952,target,A0190,152,952.0,b,0,pb_54_9, 3,pb,54,9,pb,VOT
1,206927,206.927,0.939,target,A0190,154,939.2,k,0,pk_47_7, 3,pk,47,7,pk,place
1,208876,208.876,0.948,target,A0190,156,947.2,p,1,kp_33_9, 3,kp,33,3,pk,place
1,210826,210.826,1.008,target,A0190,158,1007.3,t,0,pt_5_1, 3,pt,5,1,pt,place
1,212843,212.843,1.015,target,A0190,160,1015.5,t,0,pt_68_8, 3,pt,68,8,pt,place
1,214876,214.876,1.064,target,A0190,162,1064.3,g,0,gk_27_6, 3,gk,27,6,kg,VOT
1,216943,216.943,1.284,target,A0190,164,1284.5,d,0,dt_28_6, 3,dt,28,6,td,VOT
1,219243,219.243,1.029,target,A0190,166,1029.5,k,1,kg_27_1, 3,kg,27,1,kg,VOT
1,221276,221.276,1.0,target,A0190,168,1000.3,k,1,gk_61_11, 3,gk,61,1,kg,VOT
1,223293,223.293,1.039,target,A0190,170,1039.6,t,0,tp_1_8, 3,tp,1,4,pt,place
1,225342,225.342,1.026,target,A0190,172,1025.7,p,1,pk_46_2, 3,pk,46,2,pk,place
1,227376,227.376,0.944,target,A0190,174,944.2,k,0,pk_32_9, 3,pk,32,9,pk,place
1,229326,229.326,1.037,target,A0190,176,1037.3,p,1,kp_4_7, 3,kp,4,5,pk,place
1,231376,231.376,1.015,target,A0190,178,1015.3,d,0,dt_23_3, 3,dt,23,9,td,VOT
1,233392,233.392,1.212,target,A0190,180,1211.6,g,0,gk_66_3, 3,gk,66,9,kg,VOT
1,235609,235.609,0.974,target,A0190,182,973.9,k,0,pk_56_8, 3,pk,56,8,pk,place
